{'838517446269087745': {'fullname': b'Ayesha Khalid', 'timestamp': '2017-03-05 22:31:52', 'user': 'ayesshakhalid', 'replies': '1', 'likes': '3', 'retweets': '0'}}
{'932891182119649282': {'fullname': b'Farah PPP', 'timestamp': '2017-11-21 08:39:24', 'user': 'farukh393', 'replies': '1', 'likes': '11', 'retweets': '3'}}
{'932878802610466817': {'fullname': b'Syed Muhammad Naqvi', 'timestamp': '2017-11-21 07:50:13', 'user': 'Syeds92', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'932860244140666881': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-21 06:36:28', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'932840350921711616': {'fullname': b'Adnan Anwar', 'timestamp': '2017-11-21 05:17:25', 'user': 'adnan_anwar1', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852978634524590080': {'fullname': b'Altaf Khan', 'timestamp': '2017-04-14 20:15:28', 'user': 'thecapital15', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852948380032483328': {'fullname': b'Sarki Atta', 'timestamp': '2017-04-14 18:15:15', 'user': 'SarkiAtta', 'replies': '0', 'likes': '17', 'retweets': '9'}}
{'852921274158469121': {'fullname': b'YuSra', 'timestamp': '2017-04-14 16:27:32', 'user': 'ZeSty_here', 'replies': '1', 'likes': '1', 'retweets': '1'}}
{'852919470976794624': {'fullname': b'Haider Ali', 'timestamp': '2017-04-14 16:20:23', 'user': 'haidersays', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852916503167029248': {'fullname': b'Syedih', 'timestamp': '2017-04-14 16:08:35', 'user': 'SyedIHusain', 'replies': '0', 'likes': '2', 'retweets': '0'}}
{'852903816517255169': {'fullname': b'IMRAN', 'timestamp': '2017-04-14 15:18:10', 'user': 'imran_azad27', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852899145631145984': {'fullname': b'Mian Umer  \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0', 'timestamp': '2017-04-14 14:59:37', 'user': 'umerpmlnn', 'replies': '1', 'likes': '106', 'retweets': '73'}}
{'852889149665411073': {'fullname': b'APTimus Prime', 'timestamp': '2017-04-14 14:19:53', 'user': 'IrfanApt', 'replies': '0', 'likes': '2', 'retweets': '1'}}
{'852878171787730945': {'fullname': b'Syedih', 'timestamp': '2017-04-14 13:36:16', 'user': 'SyedIHusain', 'replies': '0', 'likes': '3', 'retweets': '1'}}
{'852866120625168384': {'fullname': b'Farhan Sultan', 'timestamp': '2017-04-14 12:48:23', 'user': 'farhansultan18', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852853960834772993': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-04-14 12:00:04', 'user': 'syedams1', 'replies': '0', 'likes': '2', 'retweets': '1'}}
{'852850377166700545': {'fullname': b'Shahjahan Shaikh', 'timestamp': '2017-04-14 11:45:49', 'user': 'ShaikhShahjahan', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'852836589948489729': {'fullname': b'MONGOL', 'timestamp': '2017-04-14 10:51:02', 'user': 'abu_aamin', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852658166374510593': {'fullname': b'Pti_Team', 'timestamp': '2017-04-13 23:02:03', 'user': 'pti_team', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852609886101753856': {'fullname': b'Rana Saqib Saeed', 'timestamp': '2017-04-13 19:50:12', 'user': 'ranasaqibsaeed', 'replies': '1', 'likes': '1', 'retweets': '0'}}
{'852594914928074753': {'fullname': b'\xd8\xb9\xd8\xa7\xd8\xaf\xd9\x84 \xd8\xa7\xd8\xb3\xd9\x84\xd9\x85 \xd8\xa8\xd9\xb9', 'timestamp': '2017-04-13 18:50:42', 'user': 'AdiiAslam', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'852583905597280259': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-04-13 18:06:57', 'user': 'syedams1', 'replies': '8', 'likes': '70', 'retweets': '20'}}
{'852578437650944001': {'fullname': b'Khalid Aziz Lone', 'timestamp': '2017-04-13 17:45:14', 'user': 'KhalidAzizLone', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'852577705576996864': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-04-13 17:42:19', 'user': 'syedams1', 'replies': '1', 'likes': '27', 'retweets': '9'}}
{'852577611620417537': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-04-13 17:41:57', 'user': 'syedams1', 'replies': '0', 'likes': '6', 'retweets': '4'}}
{'925466081606733824': {'fullname': b'Shoaib Khan', 'timestamp': '2017-10-31 20:54:42', 'user': '5hoab', 'replies': '0', 'likes': '8', 'retweets': '6'}}
{'925436519686508545': {'fullname': b'Zubair Warraich', 'timestamp': '2017-10-31 18:57:14', 'user': 'ZubairAakif', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925434810713214976': {'fullname': b'ranashahzad', 'timestamp': '2017-10-31 18:50:27', 'user': 'shahzad99000', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925432975805775876': {'fullname': b'Tahir Qayyum Tanoli', 'timestamp': '2017-10-31 18:43:09', 'user': 'TQTan0Li', 'replies': '2', 'likes': '5', 'retweets': '3'}}
{'925423851277864960': {'fullname': b'Hamza Ahmed', 'timestamp': '2017-10-31 18:06:54', 'user': 'HaMyYyiii', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925422244532277248': {'fullname': b'Tahir Qayyum Tanoli', 'timestamp': '2017-10-31 18:00:31', 'user': 'TQTan0Li', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925416094634008577': {'fullname': b'salman', 'timestamp': '2017-10-31 17:36:05', 'user': 'metweetss', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925414494838419457': {'fullname': b'Zari .....', 'timestamp': '2017-10-31 17:29:43', 'user': 'ZariBaloch', 'replies': '0', 'likes': '22', 'retweets': '8'}}
{'925402538144419840': {'fullname': b'IMRAN', 'timestamp': '2017-10-31 16:42:12', 'user': 'imran_azad27', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925393205755039744': {'fullname': b'\xd8\xa7\xd8\xb1\xd9\x85 \xd9\x86\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x88\xd8\xb1', 'timestamp': '2017-10-31 16:05:07', 'user': 'PTI_world', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925393106085785600': {'fullname': b'F i z a K h a n \xc2\xa0\xf0\x9f\x8c\x90', 'timestamp': '2017-10-31 16:04:44', 'user': 'MasT_DiL', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925392894046941185': {'fullname': b'\xd8\xb2\xda\xbe\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd9\x80\xd8\xb1\xdb\x81', 'timestamp': '2017-10-31 16:03:53', 'user': 'Zehra_iD', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'925392882797895680': {'fullname': b'\xc2\xb6\xc2\xb6 S I d r a \xc2\xb6\xc2\xb6', 'timestamp': '2017-10-31 16:03:50', 'user': 'OfficialSidra', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925392615314460674': {'fullname': b'PTI Karachi Official', 'timestamp': '2017-10-31 16:02:47', 'user': 'PTIKHIOfficial', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925390825542045697': {'fullname': b'Tehreek-e-Insaf', 'timestamp': '2017-10-31 15:55:40', 'user': 'InsafPK', 'replies': '19', 'likes': '243', 'retweets': '92'}}
{'925360537646632960': {'fullname': b'Dr Taslim Aarbi', 'timestamp': '2017-10-31 13:55:19', 'user': 'ummesalaar', 'replies': '1', 'likes': '3', 'retweets': '2'}}
{'925356489161789440': {'fullname': b'R@miz', 'timestamp': '2017-10-31 13:39:13', 'user': 'Opto_Bot', 'replies': '2', 'likes': '0', 'retweets': '0'}}
{'925341506688503808': {'fullname': b'Mudassar Iqbal', 'timestamp': '2017-10-31 12:39:41', 'user': 'danney707', 'replies': '0', 'likes': '21', 'retweets': '16'}}
{'925273369372540928': {'fullname': b'Jadoon', 'timestamp': '2017-10-31 08:08:56', 'user': 'malang_9', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'925047324505714688': {'fullname': b'\xd8\xb9\xd8\xa7\xd9\x85 \xd9\xbe\xd8\xa7\xda\xa9\xd8\xb3\xd8\xaa\xd8\xa7\xd9\x86\xdb\x8c', 'timestamp': '2017-10-30 17:10:43', 'user': 'MalixOwn', 'replies': '0', 'likes': '15', 'retweets': '10'}}
{'928325698040815617': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-08 18:17:48', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '2', 'retweets': '3'}}
{'928302161695518720': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-11-08 16:44:17', 'user': 'syedams1', 'replies': '0', 'likes': '5', 'retweets': '2'}}
{'928301470625206272': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-11-08 16:41:32', 'user': 'syedams1', 'replies': '0', 'likes': '4', 'retweets': '0'}}
{'928274726027513856': {'fullname': b'Urdu Shayeri', 'timestamp': '2017-11-08 14:55:15', 'user': 'urdu_Shayeri', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'928266936026144768': {'fullname': b'sarosh yakoob mehdi', 'timestamp': '2017-11-08 14:24:18', 'user': 'whereangelsdare', 'replies': '0', 'likes': '2', 'retweets': '1'}}
{'928233947645071360': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-08 12:13:13', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '2', 'retweets': '2'}}
{'928198188489637888': {'fullname': b'Ehtesham', 'timestamp': '2017-11-08 09:51:07', 'user': 'ShamiHere_', 'replies': '0', 'likes': '7', 'retweets': '0'}}
{'928172191736389632': {'fullname': b'Janab Mohsin Saab', 'timestamp': '2017-11-08 08:07:49', 'user': 'Qibla_Mohtram', 'replies': '0', 'likes': '1', 'retweets': '0'}}
{'928121704634830853': {'fullname': b'Rizwan pasheymaan', 'timestamp': '2017-11-08 04:47:12', 'user': 'husnain_rizwan', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'927963626698366976': {'fullname': b'USMAN \xc2\xa0\xf0\x9f\x87\xb5\xf0\x9f\x87\xb0', 'timestamp': '2017-11-07 18:19:03', 'user': 'realusmanazam', 'replies': '1', 'likes': '0', 'retweets': '0'}}
{'927957232909725698': {'fullname': b'Dr. Aliya Kareem', 'timestamp': '2017-11-07 17:53:39', 'user': 'DrAliya7', 'replies': '0', 'likes': '6', 'retweets': '8'}}
{'927956006893772800': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-07 17:48:47', 'user': 'itsCaptainAB', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'927954984565727233': {'fullname': b'Aamna Hassan Fasihi', 'timestamp': '2017-11-07 17:44:43', 'user': 'AamnaFasihi', 'replies': '0', 'likes': '12', 'retweets': '8'}}
{'927946621664530432': {'fullname': b'Saffina Ellahi', 'timestamp': '2017-11-07 17:11:29', 'user': 'SaffinaEllahi1', 'replies': '1', 'likes': '12', 'retweets': '3'}}
{'927945254640156672': {'fullname': b'Engr fareed', 'timestamp': '2017-11-07 17:06:03', 'user': 'Engrfareed88', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'927944659132997632': {'fullname': b'Taseer Ali', 'timestamp': '2017-11-07 17:03:41', 'user': 'TaseerAli99', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'927944454018920448': {'fullname': b'Rishwat-UL-Ebad', 'timestamp': '2017-11-07 17:02:52', 'user': 'RishwatulEbad', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'927911159214362625': {'fullname': b'\xd8\xae\xd8\xb1\xd9\x85', 'timestamp': '2017-11-07 14:50:34', 'user': 'Trans1ent', 'replies': '1', 'likes': '1', 'retweets': '0'}}
{'927889610193203200': {'fullname': b'Raja Shadab Yousaf Janjua', 'timestamp': '2017-11-07 13:24:57', 'user': 'YousafShadab', 'replies': '0', 'likes': '2', 'retweets': '0'}}
{'927888682970963968': {'fullname': b'AB\xc2\xa0\xe2\x9a\x93', 'timestamp': '2017-11-07 13:21:16', 'user': 'itsCaptainAB', 'replies': '3', 'likes': '5', 'retweets': '4'}}
{'887605868178657280': {'fullname': b'\xda\x86\xd9\x88\xd8\xaf\xda\xbe\xd8\xb1\xdb\x8c \xd9\x88\xd8\xb3\xdb\x8c\xd9\x85 \xd8\xb9\xd8\xb8\xd9\x85\xd8\xaa', 'timestamp': '2017-07-19 09:31:44', 'user': 'WaseemAzmet', 'replies': '0', 'likes': '9', 'retweets': '2'}}
{'887221000529694720': {'fullname': b'Anjum Shah', 'timestamp': '2017-07-18 08:02:24', 'user': 'AnjumShah82', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'887139441105653760': {'fullname': b'(Naya Pakistan)\xc2\xa0\xf0\x9f\x8c\x9f\xc2\xa0\xf0\x9f\x90\xa6', 'timestamp': '2017-07-18 02:38:19', 'user': 'sufyansohail6', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'886566532763045888': {'fullname': b'(Naya Pakistan)\xc2\xa0\xf0\x9f\x8c\x9f\xc2\xa0\xf0\x9f\x90\xa6', 'timestamp': '2017-07-16 12:41:47', 'user': 'sufyansohail6', 'replies': '0', 'likes': '2', 'retweets': '1'}}
{'886528995390566402': {'fullname': b'Fahad Khan', 'timestamp': '2017-07-16 10:12:38', 'user': 'fahadkhanbabar', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'886493685877276672': {'fullname': b'\xd8\xb3\xdb\x94\xd8\xb4', 'timestamp': '2017-07-16 07:52:19', 'user': 'sirsirajshah', 'replies': '1', 'likes': '1', 'retweets': '0'}}
{'886477679377039360': {'fullname': b'Fahad Saleem Khan', 'timestamp': '2017-07-16 06:48:43', 'user': 'fahadkhan02', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'886337889361154048': {'fullname': b'xeeshifa', 'timestamp': '2017-07-15 21:33:14', 'user': 'farhanamughal1', 'replies': '1', 'likes': '4', 'retweets': '2'}}
{'886301916275372033': {'fullname': b'ALI', 'timestamp': '2017-07-15 19:10:18', 'user': 'AmTeamIK', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'886255845146800129': {'fullname': b'Syeda Shehla \xc2\xa0\xf0\x9f\x90\x86', 'timestamp': '2017-07-15 16:07:13', 'user': 'syedams1', 'replies': '0', 'likes': '3', 'retweets': '1'}}
{'886218441153183744': {'fullname': b'(Naya Pakistan)\xc2\xa0\xf0\x9f\x8c\x9f\xc2\xa0\xf0\x9f\x90\xa6', 'timestamp': '2017-07-15 13:38:36', 'user': 'sufyansohail6', 'replies': '0', 'likes': '0', 'retweets': '0'}}
{'886139145428631552': {'fullname': b'AgainstAllOdds', 'timestamp': '2017-07-15 08:23:30', 'user': 'MaonBillii', 'replies': '0', 'likes': '6', 'retweets': '9'}}
{'886125083831480320': {'fullname': b'(Naya Pakistan)\xc2\xa0\xf0\x9f\x8c\x9f\xc2\xa0\xf0\x9f\x90\xa6', 'timestamp': '2017-07-15 07:27:38', 'user': 'sufyansohail6', 'replies': '0', 'likes': '0', 'retweets': '1'}}
{'886116041465712640': {'fullname': b'AgainstAllOdds', 'timestamp': '2017-07-15 06:51:42', 'user': 'MaonBillii', 'replies': '0', 'likes': '10', 'retweets': '4'}}
{'885837419022602240': {'fullname': b'Jahanzeb Minhas', 'timestamp': '2017-07-14 12:24:33', 'user': 'JahanzebMinhas', 'replies': '0', 'likes': '2', 'retweets': '0'}}
